,team_name,fotmob_id,total_throw_ins,throw_ins_intobox,final_3rd_throw_ins,final_3rd_throw_ins_inbox,upper_quartile_throwing_length,shots_after_throw_ins,goals_after_throw_ins,total_xG,games_played,xG_per_throw_in,throw_ins_per_game,throw_ins_intobox_per_game,ratio_inbox
230,Nottingham Forest,10203.0,966,65.0,261,63.0,22.675,21,1.0,2.198,55,0.0023,17.564,1.182,0.241
231,Notts Co.,9819.0,1185,35.0,302,31.0,22.61,13,1.0,1.643,50,0.0014,23.7,0.7,0.103
232,OH Leuven,1773.0,596,76.0,173,75.0,23.825,17,1.0,0.845,30,0.0014,19.867,2.533,0.434
233,Oldham,9785.0,1280,76.0,338,61.0,29.2725,25,3.0,2.439,46,0.0019,27.826,1.652,0.18
234,Olympiacos,8638.0,211,3.0,59,3.0,22.130000000000003,1,0.0,0.059,10,0.0003,21.1,0.3,0.051
235,Orlando City,267810.0,499,19.0,143,19.0,22.365000000000002,10,0.0,0.511,35,0.001,14.257,0.543,0.133
236,Osasuna,8371.0,724,89.0,220,82.0,23.384999999999998,20,1.0,0.881,38,0.0012,19.053,2.342,0.373
237,Oxford,8653.0,1094,225.0,299,194.0,28.2925,51,2.0,5.0,48,0.0046,22.792,4.688,0.649
238,PAOK Thessaloniki FC,8619.0,201,6.0,60,5.0,22.44,1,0.0,0.052,10,0.0003,20.1,0.6,0.083
239,PEC Zwolle,6413.0,559,34.0,139,30.0,24.935000000000002,11,3.0,0.604,34,0.0011,16.441,1.0,0.216
240,PFC Sochi,195601.0,526,19.0,93,16.0,21.380000000000003,6,0.0,0.416,29,0.0008,18.138,0.655,0.172
241,PSG,9847.0,930,5.0,221,3.0,21.505000000000003,14,2.0,2.106,56,0.0023,16.607,0.089,0.014
242,PSV Eindhoven,8640.0,753,33.0,216,30.0,24.38,7,2.0,0.416,42,0.0006,17.929,0.786,0.139
243,Pachuca,7848.0,40,0.0,7,0.0,17.84,0,0.0,0.0,3,0.0,13.333,0.0,0.0
244,Pafos FC,2137.0,140,6.0,26,6.0,23.9825,1,0.0,0.003,8,0.0,17.5,0.75,0.231
245,Palmeiras,10283.0,833,16.0,220,15.0,20.96,16,1.0,1.573,43,0.0019,19.372,0.372,0.068
246,Panathinaikos,10200.0,237,10.0,60,10.0,21.52,1,0.0,0.012,12,0.0001,19.75,0.833,0.167
247,Paris FC,6379.0,560,6.0,118,5.0,19.92,11,3.0,1.434,34,0.0026,16.471,0.176,0.042
248,Parma Calcio 1913,10167.0,676,108.0,187,88.0,27.27,24,2.0,2.012,38,0.003,17.789,2.842,0.471
249,Peterborough,8677.0,1149,24.0,241,22.0,23.83,33,5.0,2.282,47,0.002,24.447,0.511,0.091
250,Philadelphia,191716.0,823,86.0,240,82.0,23.380000000000003,28,2.0,1.907,37,0.0023,22.243,2.324,0.342
251,Pisa,6479.0,656,113.0,179,105.0,25.44,19,2.0,0.685,38,0.001,17.263,2.974,0.587
252,Plymouth,8401.0,1361,141.0,379,135.0,26.1,35,4.0,3.69,48,0.0027,28.354,2.938,0.356
253,Port Vale,9799.0,1202,177.0,330,159.0,28.16,27,2.0,2.976,49,0.0025,24.531,3.612,0.482
254,Portland,307690.0,591,15.0,150,13.0,22.29,12,2.0,0.583,37,0.001,15.973,0.405,0.087
255,Porto,9773.0,919,70.0,280,68.0,24.189999999999998,13,0.0,1.02,49,0.0011,18.755,1.429,0.243
256,Portsmouth,8462.0,1080,115.0,341,107.0,26.322499999999998,44,3.0,2.41,48,0.0022,22.5,2.396,0.314
257,Preston,8411.0,1045,60.0,273,55.0,21.57,26,3.0,2.419,48,0.0023,21.771,1.25,0.201
258,QPR,10172.0,1045,140.0,292,125.0,27.28,22,0.0,2.143,47,0.0021,22.234,2.979,0.428
259,Qarabag FK,7981.0,164,2.0,35,2.0,25.835,2,2.0,0.136,10,0.0008,16.4,0.2,0.057
260,RAAL La Louviere,1218969.0,660,110.0,207,107.0,25.41,27,0.0,1.976,30,0.003,22.0,3.667,0.517
261,RBL,178475.0,625,47.0,182,42.0,23.23,18,3.0,1.143,34,0.0018,18.382,1.382,0.231
262,Rangers,8548.0,834,48.0,229,45.0,22.26,13,3.0,1.006,41,0.0012,20.341,1.171,0.197
263,Rayo Vallecano,8370.0,764,20.0,197,18.0,21.7225,15,1.0,0.649,38,0.0008,20.105,0.526,0.091
264,Reading,9798.0,1174,79.0,247,74.0,23.6225,17,0.0,1.552,49,0.0013,23.959,1.612,0.3
265,Real Betis,8603.0,818,13.0,206,12.0,22.02,12,0.0,0.655,50,0.0008,16.36,0.26,0.058
266,Real Madrid,8633.0,825,8.0,197,6.0,22.48,25,1.0,2.45,57,0.003,14.474,0.14,0.03
267,Real Oviedo,8670.0,716,29.0,169,28.0,21.520000000000003,12,0.0,0.462,38,0.0006,18.842,0.763,0.166
268,Real Sociedad,8560.0,733,48.0,197,46.0,23.56,13,0.0,0.391,38,0.0005,19.289,1.263,0.234
269,Red Bull Bragantino,109705.0,735,24.0,204,21.0,21.25,15,1.0,0.877,38,0.0012,19.342,0.632,0.103
270,Rennes,9851.0,662,38.0,178,34.0,21.8425,14,0.0,0.37,34,0.0006,19.471,1.118,0.191
271,Rio Ave,7841.0,609,14.0,140,13.0,20.28,7,0.0,0.472,34,0.0008,17.912,0.412,0.093
272,River Plate,10076.0,60,1.0,14,1.0,22.66,2,0.0,0.334,3,0.0056,20.0,0.333,0.071
273,Rizespor,2166.0,588,30.0,160,29.0,21.1275,13,1.0,0.64,34,0.0011,17.294,0.882,0.181
274,Roma,8686.0,962,45.0,240,43.0,20.91,8,0.0,0.341,48,0.0004,20.042,0.938,0.179
275,Rotherham,8119.0,1237,102.0,334,85.0,26.32,16,1.0,1.577,48,0.0013,25.771,2.125,0.254
276,Royal Antwerp,9988.0,618,72.0,146,69.0,23.5925,15,0.0,0.908,30,0.0015,20.6,2.4,0.473
277,Rubin Kazan,8683.0,585,47.0,139,41.0,23.31,7,0.0,0.54,30,0.0009,19.5,1.567,0.295
278,SC Heerenveen,10228.0,591,36.0,159,34.0,22.47,12,0.0,0.828,34,0.0014,17.382,1.059,0.214
279,Salford City,282326.0,1419,231.0,482,204.0,30.134999999999998,35,7.0,3.785,50,0.0027,28.38,4.62,0.423
280,Salt Lake,6606.0,620,21.0,173,21.0,21.59,11,1.0,0.737,35,0.0012,17.714,0.6,0.121
281,Salzburg,10013.0,168,5.0,32,5.0,23.06,3,0.0,0.068,11,0.0004,15.273,0.455,0.156
282,Samsunspor,9750.0,639,25.0,165,22.0,22.07,13,1.0,0.678,34,0.0011,18.794,0.735,0.133
283,San Diego FC,1701119.0,620,9.0,195,7.0,20.455,7,1.0,0.445,38,0.0007,16.316,0.237,0.036
284,San Jose,6603.0,649,15.0,197,13.0,19.82,12,1.0,1.46,34,0.0022,19.088,0.441,0.066
285,Santa Clara,1567.0,740,73.0,191,66.0,25.3925,17,0.0,0.5,34,0.0007,21.765,2.147,0.346
286,Santos FC,8514.0,681,14.0,183,12.0,19.15,10,1.0,0.424,38,0.0006,17.921,0.368,0.066
287,Sao Paulo,10277.0,746,15.0,218,12.0,19.8275,13,1.0,0.612,38,0.0008,19.632,0.395,0.055
288,Sassuolo,7943.0,568,30.0,153,28.0,21.380000000000003,10,1.0,0.985,38,0.0017,14.947,0.789,0.183
289,Seattle,130394.0,596,32.0,162,31.0,21.155,13,2.0,1.871,39,0.0031,15.282,0.821,0.191
290,Sevilla,8302.0,730,73.0,187,69.0,24.3675,14,0.0,1.014,38,0.0014,19.211,1.921,0.369
291,Sheff Utd,8657.0,1064,76.0,298,69.0,25.03,28,5.0,2.334,47,0.0022,22.638,1.617,0.232
292,Sheff Wed,10163.0,1062,138.0,266,126.0,26.2625,20,1.0,1.192,50,0.0011,21.24,2.76,0.474
293,Shrewsbury,9896.0,1278,170.0,346,148.0,28.045,39,3.0,3.535,47,0.0028,27.191,3.617,0.428
294,Slavia Prague,7787.0,159,11.0,59,11.0,19.645,5,2.0,0.993,8,0.0062,19.875,1.375,0.186
295,Southampton,8466.0,979,35.0,269,33.0,23.305,14,4.0,1.72,51,0.0018,19.196,0.686,0.123
