,team_name,fotmob_id,total_throw_ins,throw_ins_intobox,final_3rd_throw_ins,final_3rd_throw_ins_inbox,upper_quartile_throwing_length,shots_after_throw_ins,goals_after_throw_ins,total_xG,games_played,xG_per_throw_in,throw_ins_per_game,throw_ins_intobox_per_game,ratio_inbox
10,Al-Ain,102117.0,44,4.0,12,3.0,19.165,0,0.0,0.0,3,0.0,14.667,1.333,0.25
11,Alanyaspor,4678.0,647,23.0,182,18.0,22.67,15,4.0,1.248,34,0.0019,19.029,0.676,0.099
12,Alverca,9780.0,682,35.0,194,34.0,20.7825,14,0.0,0.949,34,0.0014,20.059,1.029,0.175
13,Anderlecht,8635.0,633,12.0,201,9.0,20.29,9,1.0,0.458,30,0.0007,21.1,0.4,0.045
14,Angers,8121.0,583,18.0,149,16.0,20.625,15,1.0,1.246,34,0.0021,17.147,0.529,0.107
15,Antalyaspor,1931.0,665,15.0,153,13.0,19.24,10,1.0,0.483,34,0.0007,19.559,0.441,0.085
16,Arouca,158085.0,659,44.0,167,41.0,24.15,9,2.0,0.418,34,0.0006,19.382,1.294,0.246
17,Arsenal,9825.0,982,100.0,298,95.0,23.737499999999997,19,0.0,0.721,59,0.0007,16.644,1.695,0.319
18,Aston Villa,10252.0,828,87.0,252,69.0,25.415,23,2.0,1.563,54,0.0019,15.333,1.611,0.274
19,Atalanta,8524.0,920,91.0,254,88.0,23.34,25,0.0,2.394,50,0.0026,18.4,1.82,0.346
20,Athletic Club,8315.0,956,53.0,292,51.0,23.2325,13,1.0,0.9,46,0.0009,20.783,1.152,0.175
21,Atlanta United,773958.0,566,5.0,140,5.0,21.72,8,3.0,0.332,34,0.0006,16.647,0.147,0.036
22,Atletico,9906.0,990,73.0,255,72.0,22.6025,21,4.0,1.877,57,0.0019,17.368,1.281,0.282
23,Atletico MG,10272.0,657,10.0,181,10.0,19.71,10,1.0,0.428,38,0.0007,17.289,0.263,0.055
24,Auckland City FC,8523.0,35,2.0,4,2.0,22.14,0,0.0,0.0,3,0.0,11.667,0.667,0.5
25,Augsburg,8406.0,630,44.0,181,44.0,20.6925,12,1.0,0.721,34,0.0011,18.529,1.294,0.243
26,Austin FC,1218886.0,532,51.0,148,50.0,23.8125,13,1.0,0.764,36,0.0014,14.778,1.417,0.338
27,Auxerre,8583.0,637,25.0,157,23.0,20.4,7,2.0,0.323,34,0.0005,18.735,0.735,0.146
28,Bahia,7877.0,587,2.0,175,1.0,18.16,5,1.0,0.438,38,0.0007,15.447,0.053,0.006
29,Baltika,49694.0,645,140.0,182,121.0,28.5,29,2.0,1.458,30,0.0023,21.5,4.667,0.665
30,Barcelona,8634.0,815,2.0,180,0.0,21.24,19,1.0,1.517,50,0.0019,16.3,0.04,0.0
31,Barnet,8175.0,1370,180.0,427,156.0,28.01,26,3.0,2.105,46,0.0015,29.783,3.913,0.365
32,Barnsley,8283.0,1198,75.0,281,66.0,25.450000000000003,33,3.0,2.376,49,0.002,24.449,1.531,0.235
33,Barrow,6350.0,1278,89.0,301,82.0,27.8025,25,2.0,2.397,47,0.0019,27.191,1.894,0.272
34,Bayern,9823.0,943,12.0,274,8.0,20.555,12,3.0,1.939,53,0.0021,17.792,0.226,0.029
35,Benfica,9772.0,908,21.0,270,20.0,20.52,21,2.0,2.896,48,0.0032,18.917,0.438,0.074
36,Besiktas,10188.0,620,31.0,170,25.0,20.7875,17,1.0,1.017,34,0.0016,18.235,0.912,0.147
37,Birmingham,8658.0,1188,79.0,326,67.0,24.9775,25,0.0,1.436,48,0.0012,24.75,1.646,0.206
38,Blackburn,8655.0,1175,118.0,329,102.0,25.205,28,1.0,0.844,49,0.0007,23.98,2.408,0.31
39,Blackpool,8483.0,1178,52.0,398,51.0,24.232499999999998,20,1.0,2.198,47,0.0019,25.064,1.106,0.128
40,Boca Juniors,10077.0,55,2.0,18,1.0,19.28,0,0.0,0.0,3,0.0,18.333,0.667,0.056
41,Bodoe/Glimt,8402.0,167,1.0,45,1.0,19.28,3,0.0,0.305,12,0.0018,13.917,0.083,0.022
42,Bologna,9857.0,975,44.0,271,28.0,25.634999999999998,27,1.0,2.967,52,0.003,18.75,0.846,0.103
43,Bolton,8559.0,1264,30.0,335,28.0,23.494999999999997,21,1.0,1.794,50,0.0014,25.28,0.6,0.084
44,Borussia Dortmund,9789.0,922,63.0,266,60.0,22.9975,23,2.0,1.25,49,0.0014,18.816,1.286,0.226
45,Borussia M.Gladbach,9788.0,599,63.0,132,57.0,23.87,16,0.0,0.551,34,0.0009,17.618,1.853,0.432
46,Botafogo RJ,8517.0,705,25.0,178,24.0,19.95,10,0.0,0.559,42,0.0008,16.786,0.595,0.135
47,Bournemouth,8678.0,747,112.0,196,106.0,24.18,24,2.0,3.982,39,0.0053,19.154,2.872,0.541
48,Bradford,8484.0,1494,124.0,453,107.0,24.58,24,0.0,1.339,51,0.0009,29.294,2.431,0.236
49,Braga,10264.0,969,25.0,317,23.0,18.97,12,0.0,0.974,48,0.001,20.188,0.521,0.073
50,Brann,8468.0,213,14.0,41,9.0,23.56,5,0.0,0.387,10,0.0018,21.3,1.4,0.22
51,Brentford,9937.0,791,186.0,227,171.0,29.85,49,7.0,6.252,42,0.0079,18.833,4.429,0.753
52,Brest,8521.0,589,48.0,139,44.0,23.8,18,3.0,1.586,34,0.0027,17.324,1.412,0.317
53,Brighton,10204.0,678,32.0,180,31.0,21.907500000000002,20,1.0,2.426,41,0.0036,16.537,0.78,0.172
54,Bristol City,8427.0,967,50.0,238,46.0,24.16,23,0.0,1.486,48,0.0015,20.146,1.042,0.193
55,Bristol Rovers,10104.0,1231,227.0,384,189.0,32.495000000000005,35,6.0,2.471,47,0.002,26.191,4.83,0.492
56,Bromley,45729.0,1382,286.0,412,238.0,32.22,43,3.0,3.562,48,0.0026,28.792,5.958,0.578
57,Burnley,8191.0,731,100.0,196,95.0,24.33,18,1.0,0.775,40,0.0011,18.275,2.5,0.485
58,Burton,9792.0,1283,264.0,363,220.0,31.490000000000002,35,4.0,2.825,48,0.0022,26.729,5.5,0.606
59,CSKA Moscow,9760.0,632,12.0,167,10.0,20.192500000000003,12,0.0,0.704,30,0.0011,21.067,0.4,0.06
60,Cagliari,8529.0,677,24.0,149,21.0,22.08,11,2.0,0.327,38,0.0005,17.816,0.632,0.141
61,Cambridge U,9834.0,1475,228.0,486,206.0,28.265,35,3.0,2.771,49,0.0019,30.102,4.653,0.424
62,Cardiff,8344.0,1135,7.0,245,7.0,21.945,22,1.0,1.893,51,0.0017,22.255,0.137,0.029
63,Casa Pia AC,212821.0,608,85.0,167,79.0,23.81,10,1.0,0.184,34,0.0003,17.882,2.5,0.473
64,Ceara,172341.0,658,82.0,158,73.0,23.065,23,2.0,0.935,38,0.0014,17.316,2.158,0.462
65,Celta Vigo,9910.0,878,9.0,198,6.0,24.31,12,3.0,1.027,52,0.0012,16.885,0.173,0.03
66,Celtic,9925.0,853,27.0,240,22.0,23.51,13,2.0,3.056,43,0.0036,19.837,0.628,0.092
67,Cercle Bruges,9984.0,677,52.0,211,52.0,21.29,24,1.0,2.005,30,0.003,22.567,1.733,0.246
68,Charlotte FC,1323940.0,646,16.0,173,16.0,20.0175,10,0.0,1.73,36,0.0027,17.944,0.444,0.092
69,Charlton,8451.0,1045,136.0,273,124.0,28.5,32,4.0,2.501,49,0.0024,21.327,2.776,0.454
70,Chelsea,8455.0,891,8.0,221,7.0,19.700000000000003,13,0.0,1.424,58,0.0016,15.362,0.138,0.032
71,Cheltenham,8680.0,1311,81.0,310,69.0,26.475,23,1.0,1.21,48,0.0009,27.312,1.688,0.223
72,Chesterfield,9786.0,1288,26.0,345,25.0,21.755,9,2.0,0.37,49,0.0003,26.286,0.531,0.072
73,Chicago,6397.0,595,37.0,165,35.0,22.145000000000003,9,0.0,0.194,37,0.0003,16.081,1.0,0.212
74,Club Bruges,8342.0,756,52.0,218,49.0,21.842499999999998,19,1.0,1.226,40,0.0016,18.9,1.3,0.225
75,Colchester,8416.0,1261,53.0,357,47.0,23.66,20,1.0,1.155,47,0.0009,26.83,1.128,0.132
76,Colorado,8314.0,643,32.0,155,31.0,22.71,12,1.0,1.448,34,0.0023,18.912,0.941,0.2
77,Columbus,6001.0,563,11.0,156,11.0,20.71,7,1.0,0.339,36,0.0006,15.639,0.306,0.071
78,Como,10171.0,700,28.0,177,23.0,21.505,14,4.0,1.593,38,0.0023,18.421,0.737,0.13
79,Copenhagen,8391.0,126,2.0,28,2.0,20.557499999999997,2,0.0,0.099,8,0.0008,15.75,0.25,0.071
80,Corinthians,9808.0,771,15.0,191,14.0,20.200000000000003,12,2.0,0.865,38,0.0011,20.289,0.395,0.073
81,Coventry,8669.0,1025,175.0,275,154.0,27.99,45,7.0,4.84,48,0.0047,21.354,3.646,0.56
82,Crawley,8647.0,1180,192.0,336,181.0,27.0775,38,1.0,2.386,47,0.002,25.106,4.085,0.539
83,Cremonese,7801.0,738,50.0,192,47.0,22.03,10,0.0,1.545,38,0.0021,19.421,1.316,0.245
84,Crewe,9784.0,1193,117.0,357,105.0,27.34,27,1.0,2.221,47,0.0019,25.383,2.489,0.294
85,Cruzeiro,9781.0,743,27.0,235,24.0,21.36,14,2.0,1.342,38,0.0018,19.553,0.711,0.102
86,Crystal Palace,9826.0,697,166.0,187,146.0,25.9,30,2.0,2.817,41,0.004,17.0,4.049,0.781
87,DC United,6602.0,568,71.0,170,70.0,24.325,10,2.0,0.657,34,0.0012,16.706,2.088,0.412
88,Deportivo Alaves,9866.0,758,22.0,211,22.0,19.927500000000002,15,2.0,2.067,38,0.0027,19.947,0.579,0.104
89,Derby,10170.0,1047,161.0,313,150.0,27.155,37,2.0,2.406,48,0.0023,21.812,3.354,0.479
90,Dinamo Moscow,9763.0,633,59.0,180,58.0,21.5,20,2.0,2.206,30,0.0035,21.1,1.967,0.322
91,Dinamo Zagreb,10156.0,204,4.0,49,2.0,21.25,5,0.0,0.973,10,0.0048,20.4,0.4,0.041
92,Doncaster,9903.0,1272,58.0,343,51.0,24.369999999999997,26,1.0,2.521,49,0.002,25.959,1.184,0.149
93,Dundee FC,8284.0,722,60.0,190,57.0,25.43,20,0.0,1.32,33,0.0018,21.879,1.818,0.3
94,Dundee United,9938.0,688,130.0,205,125.0,27.355,37,1.0,1.981,33,0.0029,20.848,3.939,0.61
95,Dynamo Makhachkala,1068353.0,751,85.0,257,80.0,23.545,15,1.0,1.38,30,0.0018,25.033,2.833,0.311
96,Eintracht Frankfurt,9810.0,775,82.0,208,72.0,23.92,17,1.0,1.033,42,0.0013,18.452,1.952,0.346
97,Elche,10268.0,679,34.0,186,34.0,22.64,11,3.0,0.965,38,0.0014,17.868,0.895,0.183
98,Espanyol,8558.0,715,69.0,221,66.0,22.285,19,0.0,0.949,38,0.0013,18.816,1.816,0.299
99,Esperance,8153.0,37,2.0,13,2.0,21.51,0,0.0,0.0,3,0.0,12.333,0.667,0.154
100,Estoril,7842.0,698,48.0,218,44.0,21.7125,17,0.0,1.311,34,0.0019,20.529,1.412,0.202
101,Estrela da Amadora,1074320.0,603,48.0,131,46.0,23.115000000000002,15,1.0,1.047,34,0.0017,17.735,1.412,0.351
102,Everton,8668.0,772,117.0,212,114.0,25.6425,26,0.0,1.888,40,0.0024,19.3,2.925,0.538
103,Excelsior,10218.0,637,72.0,171,68.0,26.55,22,1.0,1.941,34,0.003,18.735,2.118,0.398
104,Exeter,9833.0,1159,86.0,350,81.0,25.21,22,2.0,2.331,47,0.002,24.66,1.83,0.231
105,Eyupspor,4681.0,601,17.0,149,15.0,21.48,14,1.0,0.705,34,0.0012,17.676,0.5,0.101
106,FC Basel 1893,9931.0,184,10.0,48,10.0,19.692500000000003,1,0.0,0.014,8,0.0001,23.0,1.25,0.208
107,FC Cincinnati,722265.0,656,12.0,162,7.0,24.2625,11,0.0,1.053,37,0.0016,17.73,0.324,0.043
108,FC Dallas,6399.0,574,16.0,123,12.0,20.22,12,3.0,1.167,36,0.002,15.944,0.444,0.098
109,FC FCSB,9723.0,140,2.0,29,2.0,20.725,6,2.0,0.464,8,0.0033,17.5,0.25,0.069
110,FC Groningen,8674.0,677,54.0,179,48.0,26.53,14,2.0,2.034,34,0.003,19.912,1.588,0.268
111,FC Heidenheim,94937.0,644,67.0,179,59.0,26.165,28,6.0,3.598,34,0.0056,18.941,1.971,0.33
112,FC Koln,8722.0,657,91.0,206,89.0,23.52,17,0.0,0.524,34,0.0008,19.324,2.676,0.432
113,FC Krasnodar,168719.0,627,74.0,182,65.0,24.515,17,0.0,0.917,30,0.0015,20.9,2.467,0.357
114,FC Midtjylland,8113.0,171,40.0,55,37.0,27.315,5,1.0,0.203,10,0.0012,17.1,4.0,0.673
115,FC Orenburg,132286.0,657,86.0,211,80.0,24.7,14,0.0,0.193,30,0.0003,21.9,2.867,0.379
116,FC Rostov,8705.0,613,147.0,197,136.0,24.53,23,2.0,1.993,30,0.0033,20.433,4.9,0.69
117,FC Utrecht,9908.0,814,67.0,210,64.0,23.9575,20,3.0,2.069,42,0.0025,19.381,1.595,0.305
118,FC Volendam,6601.0,583,14.0,141,13.0,22.935,9,0.0,0.264,34,0.0005,17.147,0.412,0.092
119,FCV Dender EH,7947.0,669,49.0,185,47.0,22.31,12,0.0,0.358,30,0.0005,22.3,1.633,0.254
120,FK Akhmat,8708.0,632,51.0,215,49.0,24.8925,11,1.0,0.645,29,0.001,21.793,1.759,0.228
121,FK Crvena Zvezda,8687.0,177,12.0,40,11.0,20.38,5,0.0,0.23,10,0.0013,17.7,1.2,0.275
122,Falkirk,8596.0,713,13.0,180,13.0,23.2,10,0.0,0.773,33,0.0011,21.606,0.394,0.072
123,Famalicao,1634.0,672,82.0,187,70.0,26.085,14,0.0,0.668,34,0.001,19.765,2.412,0.374
124,Fatih Karagumruk,2088.0,677,19.0,161,18.0,19.79,12,1.0,0.667,34,0.001,19.912,0.559,0.112
125,Fenerbahce,8695.0,861,33.0,255,30.0,20.03,12,0.0,0.258,44,0.0003,19.568,0.75,0.118
126,Ferencvaros,8222.0,206,17.0,63,16.0,24.932499999999997,3,0.0,0.104,12,0.0005,17.167,1.417,0.254
127,Feyenoord,10235.0,797,60.0,238,55.0,21.54,11,2.0,1.914,42,0.0024,18.976,1.429,0.231
128,Fiorentina,8535.0,595,30.0,156,27.0,22.48,10,1.0,0.508,38,0.0009,15.658,0.789,0.173
129,Flamengo,9770.0,687,7.0,238,7.0,19.645,15,1.0,1.692,42,0.0025,16.357,0.167,0.029
130,Fleetwood,45723.0,1292,85.0,362,78.0,26.47,23,2.0,1.308,47,0.001,27.489,1.809,0.215
131,Fluminense,9863.0,811,51.0,228,46.0,22.61,21,4.0,1.414,43,0.0017,18.86,1.186,0.202
